Label;count
Forest land remaining Forest land;11389511
Forest land converted to Cropland;34833
Forest land converted to Artificial land;3505
Cropland converted to Forest land;139198
Cropland remaining Cropland;13405429
Cropland converted to Grassland;199329
Cropland converted to Artificial land;260439
Grassland converted to Forest land;1
Grassland converted to Cropland;35741
Grassland remaining Grassland;6254649
Grassland converted to Artificial land;53617
Artificial land remaining Artificial land;2877559
Residual land converted to Forest land;18
Residual land converted to Cropland;9156
Residual land converted to Grassland;577
Residual land converted to Artificial land;385
Residual land remaining Residual land;201658
