ZoneID;Arable_Min;Arable_Max;Arable_slack;Arable_alloc;Arable_Price;Pastures_Min;Pastures_Max;Pastures_slack;Pastures_alloc;Pastures_Price;PermanentCrops_Min;PermanentCrops_Max;PermanentCrops_slack;PermanentCrops_alloc;PermanentCrops_Price;NewEnergyCrops_Min;NewEnergyCrops_Max;NewEnergyCrops_slack;NewEnergyCrops_alloc;NewEnergyCrops_Price;
ES11;308433;314664;0.01;0;;22479;22934;0.0100192;0;;7539;7692;0.0100453;0;;0;0;;0;
ES12;13455;13726;0.0099702;0;;33363;34037;0.01;0;;0;0;;0;;0;0;;0;
ES13;6545;6678;0.0100582;0;;23833;24314;0.00999024;0;;125;128;0.0118577;0;;0;0;;0;
ES21;56123;57256;0.00999303;0;;2617;2670;0.0100246;0;;16166;16493;0.0100126;0;;0;0;;0;
ES22;285558;291327;0.0100003;0;;0;0;;0;;29815;30418;0.0100111;0;;0;0;;0;
ES23;139348;142163;0.00999961;0;;0;0;;0;;76784;78335;0.00999878;0;;0;0;;0;
ES24;1525688;1556510;0.01;0;;0;0;;0;;176674;180243;0.00999952;0;;0;0;;0;
ES30;196965;200944;0.00999977;0;;44352;45248;0.01;0;;36742;37485;0.0100098;0;;0;0;;0;
ES41;3282414;3348725;0.00999994;0;;510590;520905;0.01;0;;63561;64846;0.0100072;0;;0;0;;0;
ES42;3735366;3810828;0.01;0;;69630;71037;0.0100023;0;;811059;827444;0.00999998;0;;0;0;;0;
ES43;971636;991265;0.01;0;;1174773;1198506;0.0100001;0;;304346;310495;0.010001;0;;0;0;;0;
ES51;769744;785295;0.0100004;0;;0;0;;0;;332471;339188;0.0100006;0;;0;0;;0;
ES52;686477;700346;0.0100006;0;;33594;34273;0.0100049;0;;502920;513080;0.01;0;;0;0;;0;
ES53;189882;193718;0.01;0;;7962;8123;0.0100093;0;;58204;59379;0.00999294;0;;0;0;;0;
ES61;3657828;3731723;0.00999993;0;;842455;859474;0.00999983;0;;2055370;2096893;0.0100001;0;;0;0;;0;
ES62;519890;530393;0.0100002;0;;10570;10783;0.00997518;0;;293026;298945;0.0099988;0;;0;0;;0;
ES63;0;0;;0;;64;65;0.00775194;0;;0;0;;0;;0;0;;0;
ES64;0;0;;0;;338;345;0.0102489;0;;0;0;;0;;0;0;;0;
ES70;54138;55231;0.00999369;0;;17605;17960;0.00998172;0;;24072;24559;0.0100142;0;;0;0;;0;

"DiscrAlloc.FeasibilityTest failed: ClaimRange(type 0 (Urban), NUTS2_merged_LUISA 1 (ES12)) = [min 9095, max 9037]: minimum > maximum; "
