Label;count
Forest land remaining Forest land;3866982
Forest land converted to Grassland;2
Forest land converted to Artificial land;1326
Cropland converted to Forest land;5
Cropland remaining Cropland;1893199
Cropland converted to Grassland;33573
Cropland converted to Artificial land;44456
Grassland converted to Forest land;129
Grassland converted to Cropland;45417
Grassland remaining Grassland;645409
Grassland converted to Artificial land;6548
Grassland converted to Residual land;7
Artificial land remaining Artificial land;425447
Residual land converted to Cropland;2511
Residual land converted to Grassland;14871
Residual land converted to Artificial land;3080
Residual land remaining Residual land;674067
