Label;count
Forest land remaining Forest land;3032855
Forest land converted to Cropland;6957
Forest land converted to Grassland;11853
Forest land converted to Artificial land;40527
Cropland converted to Forest land;75
Cropland remaining Cropland;6186774
Cropland converted to Grassland;412608
Cropland converted to Artificial land;177296
Cropland converted to Residual land;100
Grassland converted to Cropland;91630
Grassland remaining Grassland;6492306
Grassland converted to Artificial land;189338
Artificial land remaining Artificial land;1376615
Residual land converted to Cropland;75993
Residual land converted to Grassland;273081
Residual land converted to Artificial land;101312
Residual land remaining Residual land;2691909
