Label;count
Forest land remaining Forest land;11390896
Forest land converted to Cropland;34621
Forest land converted to Artificial land;2332
Cropland converted to Forest land;116495
Cropland remaining Cropland;13584102
Cropland converted to Grassland;102115
Cropland converted to Artificial land;201683
Grassland converted to Cropland;26071
Grassland remaining Grassland;6277267
Grassland converted to Artificial land;40670
Artificial land remaining Artificial land;2877559
Residual land converted to Cropland;9751
Residual land converted to Artificial land;123
Residual land remaining Residual land;201920
