Label;count
Forest land remaining Forest land;1216680
Forest land converted to Artificial land;98
Cropland remaining Cropland;559419
Cropland converted to Grassland;5312
Cropland converted to Artificial land;10760
Grassland remaining Grassland;103213
Artificial land remaining Artificial land;56282
Residual land remaining Residual land;23836
