Label;count
Forest land remaining Forest land;7521785
Forest land converted to Cropland;43764
Forest land converted to Grassland;12494
Forest land converted to Artificial land;11663
Cropland remaining Cropland;10893215
Cropland converted to Grassland;15887
Cropland converted to Artificial land;180
Grassland remaining Grassland;2633910
Grassland converted to Artificial land;13941
Artificial land remaining Artificial land;1229652
Residual land converted to Cropland;15086
Residual land converted to Grassland;3
Residual land remaining Residual land;634746
