Label;count
Forest land remaining Forest land;3075012
Forest land converted to Cropland;1887
Forest land converted to Grassland;10774
Forest land converted to Artificial land;4519
Cropland remaining Cropland;6716912
Cropland converted to Grassland;46841
Cropland converted to Artificial land;13100
Grassland converted to Cropland;5027
Grassland remaining Grassland;6752767
Grassland converted to Artificial land;15480
Artificial land remaining Artificial land;1376615
Residual land converted to Cropland;80617
Residual land converted to Grassland;83129
Residual land converted to Artificial land;19823
Residual land remaining Residual land;2958726
