Party;AVERAGE (Forest-to-Sett) t C/ha;EF;(tCO2/ha)
AUT;-1.20827563536407;-4.42228882543249;
BEL;-6.54629777182667;-23.9594498448856;
BGR;-4.8528915429389;-17.7615830471564;
HRV;-1.52331898989765;-5.5753475030254;
CYP;-1.06042347529896;-3.88114991959418;
CZE;-4.17145284223691;-15.2675174025871;
DNM;-5.34247558945896;-19.5534606574198;
EST;-7.87795100065239;-28.8333006623877;
FIN;-1.45049065230331;-5.30879578743012;
FRK;-4.60773348550292;-16.8643045569407;
DEU;-2.47891307545455;-9.07282185616364;
GRC;-0.538800303852895;-1.9720091121016;
HUN;-0.692900328534348;-2.53601520243571;
IRL;-11.4893254988821;-42.0509313259083;
ITA;-5.89497875265398;-21.5756222347136;
LVA;-1.03605154579636;-3.79194865761466;
LTU;#DIV/0!;#DIV/0!;
LUX;-1.88433352920969;-6.89666071690747;
MLT;#DIV/0!;#DIV/0!;
NLD;-6.19604801693494;-22.6775357419819;
POL;-6.04613864087018;-22.1288674255848;
PRT;-1.44218629145478;-5.2784018267245;
ROU;-4.81676;-17.6293416;
SVK;-5.90481581736166;-21.6116258915437;
SVN;-3.90249436595033;-14.2831293793782;
ESP;-1.17879443425723;-4.31438762938146;
SWE;-1.71676133384296;-6.28334648186525;
GBE;-2.44035908892759;-8.93171426547499;
EU-28;-3.61933212480902;-13.246755576801;
ISL;-1.97384309188859;-7.22426571631226;
GBK;-2.44035908892759;-8.93171426547499;
