ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;-102917;-103116;-103146;0;0;0;0;0
0.85;-101846;-101962;-102001;0;0;0;0;0
0.9;-101120;-101207;-101222;0;0;0;0;0
0.91;-101014;-101079;-101099;0;0;0;0;0
0.92;-100918;-100979;-100998;0;0;0;0;0
0.93;-100819;-100904;-100913;0;0;0;0;0
0.94;-100741;-100802;-100811;0;0;0;0;0
0.95;-100667;-100727;-100732;0;0;0;0;0
0.96;-100589;-100642;-100656;0;0;0;0;0
0.97;-100538;-100568;-100584;0;0;0;0;0
0.98;-100475;-100521;-100533;0;0;0;0;0
0.99;-100417;-100462;-100466;0;0;0;0;0
1;-100377;-100407;-100414;0;0;0;0;0
1.01;-100330;-100365;-100374;0;0;0;0;0
1.02;-100290;-100322;-100324;0;0;0;0;0
1.03;-100254;-100282;-100290;0;0;0;0;0
1.04;-100222;-100249;-100254;0;-66879;0;0;0
1.05;-100194;-100216;-100220;0;-79967;0;0;0
1.06;-100169;-100189;-100193;0;-79962;0;0;0
1.07;-100148;-100165;-100168;0;-79956;0;0;0
1.08;-100128;-100145;-100147;0;-79951;0;0;0
1.09;-100111;-100125;-100127;0;-79947;0;0;0
1.1;-100097;-100109;-100111;0;-79944;0;0;0
1.15;-100052;-100058;-100059;0;-79928;0;0;0
1.2;-100026;-100029;-100030;0;-79920;0;0;0
