ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;0;0;0;0;0;0;0;0
0.85;0;0;0;0;77985;272781;289607;338935
0.9;335871;352202;365988;375161;380953;398402;416510;449185
0.91;507142;370225;382140;390163;396376;422739;435673;462181
0.92;507143;370387;382373;390548;396937;423466;436187;462798
0.93;531250;371391;383295;391517;397934;425060;437279;463833
0.94;538059;377213;388897;397205;404142;430983;441680;467484
0.95;572500;570785;407334;414708;422777;445319;454911;477542
0.96;600357;571266;407909;415274;423144;445844;455443;478048
0.97;622354;571417;408193;415592;423449;446169;455738;478449
0.98;637843;571549;408406;415933;423790;446555;456040;478849
0.99;648794;571895;408799;416409;424342;447100;456436;479354
1;658275;572300;409273;416976;424925;447535;456869;479875
1.01;668973;572562;409668;417502;425511;447778;457205;480376
1.02;678391;572777;409990;417905;425929;448076;457536;480745
1.03;686602;572994;410304;418310;426456;448695;457672;481127
1.04;693453;573184;410600;418702;426880;449404;458013;481568
1.05;698585;573363;410897;419094;427324;450036;458401;481953
1.06;699978;573482;411128;419523;427755;450549;458892;482320
1.07;699995;573619;411343;419898;428037;451017;459403;482652
1.08;699998;573752;411620;420267;428319;451359;459801;483007
1.09;699999;573861;411811;420545;428854;451755;460186;483366
1.1;700000;573966;412042;420822;429148;452043;460578;483706
1.15;849999;577207;415496;424396;432801;455485;464155;486224
1.2;881443;578042;416878;425951;434596;456784;465851;487571
