ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;-116900;-120707;-124019;-126740;-128290;-130550;-132866;-136070
0.85;-105847;-108611;-111256;-114148;-115971;-118534;-121190;-124435
0.9;0;-101105;-102486;-103748;-104766;-106456;-108516;-111248
0.91;0;0;-101231;-102493;-103171;-104489;-106246;-108897
0.92;0;0;0;-101321;-102240;-103160;-104530;-106940
0.93;0;0;0;0;-100766;-101843;-102816;-104468
0.94;0;0;0;0;0;-100529;-101726;-102999
0.95;0;0;0;0;0;0;-100549;-101998
0.96;0;0;0;0;0;0;0;-100843
0.97;0;0;0;0;0;0;0;0
0.98;0;0;0;0;0;0;0;0
0.99;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0
1.01;0;0;0;0;0;0;0;0
1.02;0;0;0;0;0;0;0;0
1.03;0;0;0;0;0;0;0;0
1.04;0;0;0;0;0;0;0;0
1.05;0;0;0;0;0;0;0;0
1.06;0;0;0;0;0;0;0;0
1.07;0;0;0;0;0;0;0;0
1.08;0;0;0;0;0;0;0;0
1.09;0;0;0;0;0;0;0;0
1.1;0;0;0;0;0;0;0;0
1.15;0;0;0;0;0;0;0;0
1.2;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
