ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;-557912;-559939;-560082;-163808;-19617;-2542;0;0
0.85;-553125;-555612;-555898;-161906;-19380;-647;0;0
0.9;-547764;-550801;-551284;-161067;-12596;-1623;0;0
0.91;-546944;-549587;-550248;-160336;-12130;-1408;0;0
0.92;-545986;-548475;-549150;-146833;-11530;-498;0;0
0.93;-544764;-547566;-548131;-145703;-11191;0;0;0
0.94;-543125;-546660;-547310;-145726;-10997;0;0;0
0.95;-541017;-545688;-546415;-145642;-10841;0;0;0
0.96;-538973;-544367;-545475;-146109;-10614;0;0;0
0.97;-537822;-542625;-544128;-150162;-10392;0;0;0
0.98;-536862;-540505;-542410;-149139;-10104;0;0;0
0.99;-535920;-538796;-540257;-147961;-9826;0;0;0
1;-535134;-537713;-538615;-148855;-9640;0;0;0
1.01;-534139;-536778;-537611;-149747;-9427;0;0;0
1.02;-533097;-535875;-536671;-150352;-9205;0;0;0
1.03;-531938;-535116;-535766;-151913;-8938;0;0;0
1.04;-530644;-534132;-535011;-152031;-8515;0;0;0
1.05;-529353;-533135;-534015;-148707;-8051;0;0;0
1.06;-527895;-532035;-532956;-144959;-7490;0;0;0
1.07;-526372;-530825;-531792;-144732;-7430;0;0;0
1.08;-525351;-529584;-530463;-144629;-7377;0;0;0
1.09;-524277;-528213;-529108;-144665;-7316;0;0;0
1.1;-522901;-526726;-527641;-144669;-7243;0;0;0
1.15;-512741;-520322;-521279;-144017;-6942;0;0;0
1.2;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
