ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;-112606;-112824;-111797;0;0;0;0;0
0.85;-110695;-110947;-110324;0;0;0;0;0
0.9;-108708;-109016;-108554;0;0;0;0;0
0.91;-108315;-108608;-108200;0;0;0;0;0
0.92;-107892;-108223;-107846;0;0;0;0;0
0.93;-107519;-107809;-107465;0;0;0;0;0
0.94;-107133;-107441;-107160;0;0;0;0;0
0.95;-106671;-107049;-106802;0;0;0;0;0
0.96;-106180;-106580;-106329;0;0;0;0;0
0.97;-105672;-106089;-105854;0;0;0;0;0
0.98;-105171;-105584;-105367;0;0;0;0;0
0.99;-104752;-105110;-104956;0;0;0;0;0
1;-104354;-104709;-104480;0;0;0;0;0
1.01;-103928;-104296;-104069;0;0;0;0;0
1.02;-103481;-103872;-103717;0;0;0;0;0
1.03;-103033;-103419;-103333;0;0;0;0;0
1.04;-102643;-102991;-102931;0;0;0;0;0
1.05;-102302;-102625;-102587;0;0;0;0;0
1.06;-101989;-102302;-102283;0;0;0;0;0
1.07;-101737;-101998;-101993;0;0;0;0;0
1.08;-101473;-101750;-101740;0;0;0;0;0
1.09;-101240;-101495;-101497;0;0;0;0;0
1.1;-100931;-101265;-101260;0;0;0;0;0
1.15;0;-100009;-100010;0;0;0;0;0
1.2;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
