Party;value;EF
AUT;-0.00130235805618;0.00477531287266
BEL;-0.0003629659812;0.0013308752644
BGR;-0.0089683849277;0.0328840780682333
HRV;-0.0539688416959;0.197885752884967
CYP;0.14713468303795;-0.539493837805817
CZE;0.00073989850583;-0.00271296118804333
DNM;-0.01536169115565;0.05632620090405
EST;-0.00303519947884;0.0111290647557467
FIN;0.00026380639654;-0.000967290120646667
FRK;-0.00239646096731;0.00878702354680333
DEU;-0.00029142510702;0.00106855872574
GRC;0.03004551650869;-0.110166893865197
HUN;-0.00014218942443;0.00052136122291
IRL;0.00202475645401;-0.00742410699803667
ITA;-0.03962021945588;0.145274138004893
LVA;0.00860318473144;-0.0315450106819467
LTU;-0.0087756914784;0.0321775354208
LUX;-0.01526026467029;0.0559543037910633
MLT;0.04045348932529;-0.148329460859397
POL;0.03404645483297;-0.124837001054223
PRT;0.01746773115709;-0.0640483475759967
ROU;0.03903759820641;-0.14313786009017
SVK;0.19351744365894;-0.70956396008278
SVN;-0.00382177830244;0.0140131871089467
ESP;0.02677844701704;-0.09818763906248
SWE;0.02561639574;-0.09392678438
