Party;value;EF
AUT;-0.85093704318141;3.12010249166517
BEL;-5.14631193507948;18.8698104286248
BGR;-2.62042616503652;9.60822927180057
HRV;-0.0270742275545;0.0992721676998333
CYP;-1.19427299024488;4.37900096423123
CZE;-3.74871293103263;13.7452807471196
DNM;-1.58287592700668;5.80387839902449
EST;-2.29324690433022;8.40857198254414
FIN;-0.64535639049487;2.36630676514786
FRK;-3.635617253365;13.3305965956717
DEU;-1.00817055077848;3.69662535285443
GRC;-0.38860102843911;1.42487043761007
HUN;-0.91685092216553;3.36178671460694
IRL;-3.10808096012671;11.3962968537979
ITA;-3.41428866230995;12.5190584284698
LVA;-0.90777814083192;3.32851984971704
LUX;-4.92369597997325;18.0535519265686
NLD;-2.72513138315025;9.99214840488425
POL;-1.14418958266469;4.19536180310386
PRT;-1.24190117763365;4.55363765132338
ROU;-9.56160589345205;35.0592216093242
SVK;-2.3612767385539;8.65801470803097
SVN;-1.14179566487274;4.18658410453338
ESP;-1.83378808183313;6.72388963338814
SWE;-1.25401407229985;4.59805159843278
