Party;value;EF
AUT;-1.35114288660356;4.95419058421305
BEL;-7.21894639288636;26.46947010725
CYP;-1.11091634237958;4.07335992205846
CZE;-3.8050699562864;13.9519231730501
DNM;-0.36292314304659;1.33071819117083
EST;-2.58369512196097;9.47354878052356
FIN;-1.13303754266212;4.15447098976111
FRK;-1.31969445789123;4.83887967893451
GRC;-1.09850899096697;4.02786630021222
HUN;-1.60139865104102;5.87179505381707
IRL;-0.06446849705537;0.236384489203023
LVA;-0.45220217850773;1.65807465452834
LUX;-1.95531728544455;7.16949671329668
NLD;-3.21377477452445;11.783840839923
PRT;-0.56531807319548;2.07283293505009
ROU;-4.18527983878037;15.346026075528
SVK;-0.65237439956086;2.39203946505649
SVN;-1.76881673369133;6.48566135686821
ESP;-1.78031376278239;6.5278171302021
SWE;-2.72238317455249;9.9820716400258
