Party;value;EF
AUT;0.22606777653821;-0.828915180640103
BEL;0.67880410500312;-2.48894838501144
BGR;0.5014933348385;-1.83880889440783
HRV;0.69480852309892;-2.54763125136271
CYP;0.23055251540339;-0.845359223145763
CZE;-2.17225833084608;7.96494721310229
DNM;0.15352787710616;-0.562935549389253
EST;-0.11776931432522;0.431820819192473
FIN;0.35791400531146;-1.31235135280869
FRK;0.3183104689512;-1.1671383861544
DEU;0.7484434188896;-2.74429253592853
GRC;0.17653177251332;-0.647283165882173
HUN;0.7480281310837;-2.74276981397357
IRL;0.7016547968435;-2.57273425509283
ITA;0.80400215191948;-2.94800789037143
LVA;0.24717703677902;-0.906315801523073
LTU;0.65251235104945;-2.39254528718132
LUX;0.98478800049082;-3.61088933513301
MLT;0.01643958384607;-0.0602784741022567
NLD;1.25597614654777;-4.60524587067516
POL;0.33390176776787;-1.22430648181552
PRT;0.5579263723824;-2.0457300320688
ROU;0.90398675050088;-3.31461808516989
SVK;0.93382695137747;-3.42403215505072
SVN;0.81788072852257;-2.99889600458276
ESP;0.51896441989902;-1.90286953962974
SWE;0.29754916766033;-1.09101361475454
