Label;count
Forest land remaining Forest land;2131645
Forest land converted to Cropland;26661
Forest land converted to Grassland;24
Forest land converted to Artificial land;6415
Cropland remaining Cropland;5303736
Cropland converted to Grassland;842
Cropland converted to Artificial land;40949
Grassland converted to Cropland;3305
Grassland remaining Grassland;691259
Grassland converted to Artificial land;6266
Artificial land remaining Artificial land;519623
Residual land converted to Cropland;9771
Residual land converted to Grassland;18
Residual land converted to Artificial land;62
Residual land remaining Residual land;220897
