Label;count
Forest land remaining Forest land;367077
Forest land converted to Cropland;4921
Forest land converted to Grassland;432
Forest land converted to Artificial land;2760
Cropland remaining Cropland;1355768
Cropland converted to Grassland;528
Cropland converted to Artificial land;29491
Grassland converted to Cropland;10296
Grassland remaining Grassland;979166
Grassland converted to Artificial land;11971
Artificial land remaining Artificial land;404418
Residual land converted to Cropland;7513
Residual land converted to Grassland;2208
Residual land converted to Artificial land;1188
Residual land remaining Residual land;70686
