Label;count
Forest land remaining Forest land;3833474
Forest land converted to Cropland;47351
Forest land converted to Grassland;8173
Forest land converted to Artificial land;6603
Cropland converted to Forest land;484969
Cropland remaining Cropland;4290949
Cropland converted to Grassland;123238
Cropland converted to Artificial land;31400
Grassland converted to Forest land;15874
Grassland converted to Cropland;7596
Grassland remaining Grassland;113860
Grassland converted to Artificial land;3568
Artificial land remaining Artificial land;313741
Residual land converted to Forest land;374
Residual land converted to Cropland;169435
Residual land converted to Grassland;11020
Residual land converted to Artificial land;1548
Residual land remaining Residual land;3041864
