Label;count
Forest land remaining Forest land;2259206
Forest land converted to Artificial land;181
Cropland remaining Cropland;3333008
Grassland remaining Grassland;483136
Grassland converted to Artificial land;1961
Artificial land remaining Artificial land;189192
Residual land remaining Residual land;4961
