Label;count
Forest land remaining Forest land;24210379
Forest land converted to Cropland;2870
Forest land converted to Artificial land;3401
Cropland converted to Forest land;644649
Cropland remaining Cropland;2235751
Cropland converted to Grassland;2758
Cropland converted to Artificial land;6189
Grassland converted to Forest land;1049
Grassland converted to Cropland;88
Grassland remaining Grassland;4694
Grassland converted to Artificial land;784
Artificial land remaining Artificial land;391563
Residual land converted to Artificial land;30
Residual land remaining Residual land;723745
