Label;count
Forest land remaining Forest land;29480899
Forest land converted to Grassland;851
Forest land converted to Artificial land;28607
Cropland converted to Forest land;1249720
Cropland remaining Cropland;2344610
Cropland converted to Grassland;52993
Cropland converted to Artificial land;71595
Cropland converted to Residual land;1196
Grassland converted to Forest land;12628
Grassland converted to Cropland;269
Grassland remaining Grassland;242116
Grassland converted to Artificial land;5950
Grassland converted to Residual land;844
Artificial land remaining Artificial land;528298
Residual land converted to Grassland;68
Residual land converted to Artificial land;746
Residual land remaining Residual land;2952667
