Label;count
Forest land remaining Forest land;16441951
Forest land converted to Cropland;1549
Forest land converted to Grassland;1372
Forest land converted to Artificial land;3430
Cropland remaining Cropland;23583351
Cropland converted to Grassland;474
Cropland converted to Artificial land;20880
Grassland remaining Grassland;8365542
Grassland converted to Artificial land;51201
Artificial land remaining Artificial land;2886513
Residual land converted to Cropland;53689
Residual land converted to Grassland;31
Residual land converted to Artificial land;932
Residual land remaining Residual land;1751435
