Label;count
Forest land remaining Forest land;3866108
Forest land converted to Cropland;1187
Forest land converted to Artificial land;1015
Cropland remaining Cropland;1730056
Cropland converted to Grassland;234986
Cropland converted to Artificial land;6191
Grassland converted to Cropland;3833
Grassland remaining Grassland;690886
Grassland converted to Artificial land;2791
Artificial land remaining Artificial land;425447
Residual land converted to Cropland;18271
Residual land converted to Artificial land;938
Residual land remaining Residual land;675320
