Label;count
Forest land remaining Forest land;3867687
Forest land converted to Grassland;2
Forest land converted to Artificial land;621
Cropland remaining Cropland;1948832
Cropland converted to Grassland;6388
Cropland converted to Artificial land;16013
Grassland converted to Cropland;39779
Grassland remaining Grassland;653762
Grassland converted to Artificial land;3962
Grassland converted to Residual land;7
Artificial land remaining Artificial land;425447
Residual land converted to Cropland;2511
Residual land converted to Grassland;12930
Residual land converted to Artificial land;564
Residual land remaining Residual land;678524
