Label;count
Forest land remaining Forest land;688174
Forest land converted to Cropland;51219
Forest land converted to Grassland;272
Forest land converted to Artificial land;481
Cropland remaining Cropland;841255
Cropland converted to Grassland;4
Cropland converted to Artificial land;13132
Grassland converted to Cropland;23856
Grassland remaining Grassland;3851802
Grassland converted to Artificial land;8438
Artificial land remaining Artificial land;111108
Residual land converted to Cropland;88582
Residual land converted to Artificial land;529
Residual land remaining Residual land;78514
