Label;count
Forest land remaining Forest land;11395890
Forest land converted to Cropland;31594
Forest land converted to Artificial land;365
Cropland remaining Cropland;13978572
Cropland converted to Grassland;16717
Cropland converted to Artificial land;9106
Grassland converted to Cropland;17332
Grassland remaining Grassland;6293416
Grassland converted to Artificial land;33260
Artificial land remaining Artificial land;2877559
Residual land converted to Cropland;7115
Residual land converted to Artificial land;123
Residual land remaining Residual land;204556
