Label;count
Forest land remaining Forest land;3867440
Forest land converted to Artificial land;870
Cropland remaining Cropland;1691428
Cropland converted to Grassland;267810
Cropland converted to Artificial land;11995
Grassland converted to Cropland;309
Grassland remaining Grassland;694594
Grassland converted to Artificial land;2607
Artificial land remaining Artificial land;425447
Residual land converted to Cropland;15116
Residual land converted to Artificial land;574
Residual land remaining Residual land;678839
