Label;count
Forest land remaining Forest land;24210873
Forest land converted to Cropland;2870
Forest land converted to Artificial land;2907
Cropland remaining Cropland;2882804
Cropland converted to Grassland;5098
Cropland converted to Artificial land;1445
Grassland converted to Cropland;88
Grassland remaining Grassland;6395
Grassland converted to Artificial land;132
Artificial land remaining Artificial land;391563
Residual land converted to Artificial land;15
Residual land remaining Residual land;723760
