label;count
UrbanUrban;53465
IndustrialUrban;0
ArableUrban;8017
PermanentCropsUrban;0
PasturesUrban;166
ForestsMatureUrban;0
TransWoodlandShrubUrban;55
AbanArableUrban;0
AbanPermanentCropsUrban;0
AbanPasturesUrban;0
AbanUrbanUrban;0
AbanIndustryUrban;0
NewEnergyCropsUrban;0
SHVAUrban;0
ForestsYoungUrban;0
UrbanIndustrial;0
IndustrialIndustrial;10101
ArableIndustrial;1111
PermanentCropsIndustrial;0
PasturesIndustrial;0
ForestsMatureIndustrial;35
TransWoodlandShrubIndustrial;39
AbanArableIndustrial;0
AbanPermanentCropsIndustrial;0
AbanPasturesIndustrial;0
AbanUrbanIndustrial;0
AbanIndustryIndustrial;0
NewEnergyCropsIndustrial;0
SHVAIndustrial;0
ForestsYoungIndustrial;0
UrbanArable;0
IndustrialArable;0
ArableArable;66978
PermanentCropsArable;0
PasturesArable;0
ForestsMatureArable;0
TransWoodlandShrubArable;0
AbanArableArable;0
AbanPermanentCropsArable;0
AbanPasturesArable;0
AbanUrbanArable;0
AbanIndustryArable;0
NewEnergyCropsArable;0
SHVAArable;0
ForestsYoungArable;0
UrbanPermanentCrops;0
IndustrialPermanentCrops;0
ArablePermanentCrops;4766
PermanentCropsPermanentCrops;1
PasturesPermanentCrops;0
ForestsMaturePermanentCrops;0
TransWoodlandShrubPermanentCrops;0
AbanArablePermanentCrops;0
AbanPermanentCropsPermanentCrops;0
AbanPasturesPermanentCrops;0
AbanUrbanPermanentCrops;0
AbanIndustryPermanentCrops;0
NewEnergyCropsPermanentCrops;0
SHVAPermanentCrops;0
ForestsYoungPermanentCrops;0
UrbanPastures;0
IndustrialPastures;0
ArablePastures;0
PermanentCropsPastures;0
PasturesPastures;89125
ForestsMaturePastures;0
TransWoodlandShrubPastures;0
AbanArablePastures;0
AbanPermanentCropsPastures;0
AbanPasturesPastures;0
AbanUrbanPastures;0
AbanIndustryPastures;0
NewEnergyCropsPastures;0
SHVAPastures;0
ForestsYoungPastures;0
UrbanForestsMature;0
IndustrialForestsMature;0
ArableForestsMature;0
PermanentCropsForestsMature;0
PasturesForestsMature;0
ForestsMatureForestsMature;10352
TransWoodlandShrubForestsMature;0
AbanArableForestsMature;0
AbanPermanentCropsForestsMature;0
AbanPasturesForestsMature;0
AbanUrbanForestsMature;0
AbanIndustryForestsMature;0
NewEnergyCropsForestsMature;0
SHVAForestsMature;0
ForestsYoungForestsMature;0
UrbanTransWoodlandShrub;0
IndustrialTransWoodlandShrub;0
ArableTransWoodlandShrub;5
PermanentCropsTransWoodlandShrub;0
PasturesTransWoodlandShrub;0
ForestsMatureTransWoodlandShrub;0
TransWoodlandShrubTransWoodlandShrub;140
AbanArableTransWoodlandShrub;0
