Label;count
Forest land remaining Forest land;3015456
Forest land converted to Cropland;303585
Forest land converted to Grassland;1430
Forest land converted to Artificial land;13083
Cropland remaining Cropland;3237227
Cropland converted to Grassland;20350
Cropland converted to Artificial land;1006
Grassland converted to Cropland;12600
Grassland remaining Grassland;996419
Artificial land remaining Artificial land;284149
Residual land converted to Cropland;67370
Residual land converted to Grassland;1136
Residual land converted to Artificial land;205
Residual land remaining Residual land;695694
