Label;count
Forest land remaining Forest land;666940
Forest land converted to Cropland;72628
Forest land converted to Artificial land;578
Cropland converted to Forest land;719
Cropland remaining Cropland;841210
Cropland converted to Grassland;4
Cropland converted to Artificial land;12458
Grassland converted to Cropland;57529
Grassland remaining Grassland;3816597
Grassland converted to Artificial land;9970
Artificial land remaining Artificial land;111108
Residual land converted to Cropland;89045
Residual land converted to Artificial land;145
Residual land remaining Residual land;78435
