Label;count
Forest land remaining Forest land;7521505
Forest land converted to Cropland;42804
Forest land converted to Grassland;12697
Forest land converted to Artificial land;12700
Cropland converted to Forest land;209
Cropland remaining Cropland;10807315
Cropland converted to Grassland;65678
Cropland converted to Artificial land;36080
Grassland converted to Forest land;5
Grassland converted to Cropland;8648
Grassland remaining Grassland;2614109
Grassland converted to Artificial land;25089
Artificial land remaining Artificial land;1229652
Residual land converted to Forest land;1
Residual land converted to Cropland;15082
Residual land converted to Grassland;3
Residual land converted to Artificial land;3
Residual land remaining Residual land;634746
