Label;count
Forest land remaining Forest land;368909
Forest land converted to Cropland;4942
Forest land converted to Grassland;6
Forest land converted to Artificial land;1333
Cropland remaining Cropland;1352432
Cropland converted to Grassland;1272
Cropland converted to Artificial land;32083
Grassland converted to Cropland;9688
Grassland remaining Grassland;979591
Grassland converted to Artificial land;12154
Artificial land remaining Artificial land;404418
Residual land converted to Cropland;6247
Residual land converted to Grassland;2999
Residual land converted to Artificial land;159
Residual land remaining Residual land;72190
