Label;count
Forest land remaining Forest land;368593
Forest land converted to Cropland;4942
Forest land converted to Grassland;6
Forest land converted to Artificial land;1649
Cropland remaining Cropland;1352731
Cropland converted to Grassland;1271
Cropland converted to Artificial land;31785
Grassland converted to Cropland;9693
Grassland remaining Grassland;979587
Grassland converted to Artificial land;12153
Artificial land remaining Artificial land;404418
Residual land converted to Cropland;6788
Residual land converted to Grassland;2476
Residual land converted to Artificial land;141
Residual land remaining Residual land;72190
