Label;count
Forest land remaining Forest land;3867996
Forest land converted to Artificial land;314
Cropland remaining Cropland;1860536
Cropland converted to Grassland;110646
Cropland converted to Artificial land;51
Grassland converted to Cropland;132
Grassland remaining Grassland;696580
Grassland converted to Artificial land;798
Artificial land remaining Artificial land;425447
Residual land converted to Cropland;15116
Residual land converted to Artificial land;16
Residual land remaining Residual land;679397
