Label;count
Forest land remaining Forest land;10266507
Forest land converted to Artificial land;1011
Cropland converted to Forest land;108
Cropland remaining Cropland;15278165
Cropland converted to Grassland;200872
Cropland converted to Artificial land;112543
Cropland converted to Residual land;1915
Grassland converted to Forest land;20389
Grassland converted to Cropland;67
Grassland remaining Grassland;2750516
Grassland converted to Artificial land;38267
Grassland converted to Residual land;502
Artificial land remaining Artificial land;1676252
Residual land remaining Residual land;32257
