Label;count
Forest land remaining Forest land;10266507
Forest land converted to Artificial land;1011
Cropland converted to Forest land;108
Cropland remaining Cropland;15391966
Cropland converted to Grassland;114718
Cropland converted to Artificial land;84910
Cropland converted to Residual land;1901
Grassland converted to Forest land;7594
Grassland remaining Grassland;2772259
Grassland converted to Artificial land;29438
Grassland converted to Residual land;450
Artificial land remaining Artificial land;1676252
Residual land remaining Residual land;32257
