Label;count
Forest land remaining Forest land;29488585
Forest land converted to Grassland;717
Forest land converted to Artificial land;21055
Cropland converted to Forest land;1234510
Cropland remaining Cropland;2432928
Cropland converted to Grassland;15250
Cropland converted to Artificial land;36230
Cropland converted to Residual land;1196
Grassland converted to Forest land;12628
Grassland converted to Cropland;277
Grassland remaining Grassland;242340
Grassland converted to Artificial land;5718
Grassland converted to Residual land;844
Artificial land remaining Artificial land;528298
Residual land converted to Grassland;68
Residual land converted to Artificial land;144
Residual land remaining Residual land;2953269
