Label;count
Forest land remaining Forest land;2201470
Forest land converted to Artificial land;236
Cropland remaining Cropland;1977934
Cropland converted to Grassland;54494
Cropland converted to Artificial land;14274
Grassland converted to Forest land;11
Grassland converted to Cropland;1
Grassland remaining Grassland;267211
Grassland converted to Artificial land;3398
Artificial land remaining Artificial land;268157
Residual land remaining Residual land;41789
