Label;count
Forest land remaining Forest land;3866747
Forest land converted to Grassland;2
Forest land converted to Artificial land;1561
Cropland converted to Forest land;8
Cropland remaining Cropland;1853946
Cropland converted to Grassland;64895
Cropland converted to Artificial land;52384
Grassland converted to Forest land;188
Grassland converted to Cropland;45519
Grassland remaining Grassland;644685
Grassland converted to Artificial land;7084
Grassland converted to Residual land;34
Artificial land remaining Artificial land;425447
Residual land converted to Cropland;2511
Residual land converted to Grassland;14871
Residual land converted to Artificial land;3101
Residual land remaining Residual land;674046
