Label;count
Forest land remaining Forest land;10266507
Forest land converted to Artificial land;1011
Cropland converted to Forest land;108
Cropland remaining Cropland;15312154
Cropland converted to Grassland;180150
Cropland converted to Artificial land;99278
Cropland converted to Residual land;1913
Grassland converted to Forest land;19282
Grassland converted to Cropland;67
Grassland remaining Grassland;2757297
Grassland converted to Artificial land;32635
Grassland converted to Residual land;460
Artificial land remaining Artificial land;1676252
Residual land remaining Residual land;32257
