Label;count
Forest land remaining Forest land;666940
Forest land converted to Cropland;72628
Forest land converted to Artificial land;578
Cropland converted to Forest land;405
Cropland remaining Cropland;842316
Cropland converted to Grassland;4
Cropland converted to Artificial land;11666
Grassland converted to Cropland;57529
Grassland remaining Grassland;3818300
Grassland converted to Artificial land;8267
Artificial land remaining Artificial land;111108
Residual land converted to Cropland;89081
Residual land converted to Artificial land;109
Residual land remaining Residual land;78435
