Label;count
Forest land remaining Forest land;3028381
Forest land converted to Cropland;297629
Forest land converted to Grassland;3573
Forest land converted to Artificial land;3971
Cropland converted to Forest land;8754
Cropland remaining Cropland;3130342
Cropland converted to Grassland;77122
Cropland converted to Artificial land;42365
Grassland converted to Forest land;1208
Grassland converted to Cropland;50608
Grassland remaining Grassland;940020
Grassland converted to Artificial land;17183
Artificial land remaining Artificial land;284149
Residual land converted to Cropland;67360
Residual land converted to Grassland;1260
Residual land converted to Artificial land;270
Residual land remaining Residual land;695515
