Label;count
Forest land remaining Forest land;592681
Forest land converted to Cropland;275
Forest land converted to Artificial land;371
Cropland remaining Cropland;3045100
Cropland converted to Grassland;30030
Cropland converted to Artificial land;34176
Grassland converted to Cropland;120
Grassland remaining Grassland;66708
Grassland converted to Artificial land;2130
Artificial land remaining Artificial land;253219
Residual land converted to Cropland;52
Residual land remaining Residual land;71614
