Label;count
Forest land remaining Forest land;3837380
Forest land converted to Cropland;45135
Forest land converted to Grassland;6595
Forest land converted to Artificial land;6491
Cropland remaining Cropland;4797521
Cropland converted to Grassland;104891
Cropland converted to Artificial land;28144
Grassland converted to Cropland;6655
Grassland remaining Grassland;130745
Grassland converted to Artificial land;3498
Artificial land remaining Artificial land;313741
Residual land converted to Cropland;169169
Residual land converted to Grassland;10529
Residual land converted to Artificial land;1485
Residual land remaining Residual land;3043058
