Label;count
Forest land remaining Forest land;3867279
Forest land converted to Cropland;16
Forest land converted to Artificial land;1015
Cropland remaining Cropland;1700002
Cropland converted to Grassland;264569
Cropland converted to Artificial land;6662
Grassland converted to Cropland;2393
Grassland remaining Grassland;692428
Grassland converted to Artificial land;2689
Artificial land remaining Artificial land;425447
Residual land converted to Cropland;15116
Residual land converted to Artificial land;575
Residual land remaining Residual land;678838
