Label;count
Forest land remaining Forest land;3867211
Forest land converted to Artificial land;1099
Cropland remaining Cropland;1669233
Cropland converted to Grassland;279274
Cropland converted to Artificial land;22726
Grassland converted to Cropland;1973
Grassland remaining Grassland;692537
Grassland converted to Artificial land;3000
Artificial land remaining Artificial land;425447
Residual land converted to Cropland;15116
Residual land converted to Artificial land;603
Residual land remaining Residual land;678810
