Label;count
Forest land remaining Forest land;16441041
Forest land converted to Cropland;5
Forest land converted to Grassland;3090
Forest land converted to Artificial land;4166
Cropland converted to Forest land;30853
Cropland remaining Cropland;23129215
Cropland converted to Grassland;176359
Cropland converted to Artificial land;268058
Cropland converted to Residual land;220
Grassland converted to Forest land;2489
Grassland converted to Cropland;6622
Grassland remaining Grassland;8279324
Grassland converted to Artificial land;128294
Grassland converted to Residual land;14
Artificial land remaining Artificial land;2886513
Residual land converted to Cropland;509
Residual land converted to Grassland;13991
Residual land converted to Artificial land;11331
Residual land remaining Residual land;1780256
