Label;count
Forest land remaining Forest land;3854171
Forest land converted to Cropland;11911
Forest land converted to Artificial land;2228
Cropland remaining Cropland;1744917
Cropland converted to Grassland;221655
Cropland converted to Artificial land;4661
Grassland converted to Cropland;47083
Grassland remaining Grassland;647646
Grassland converted to Artificial land;2781
Artificial land remaining Artificial land;425447
Residual land converted to Cropland;21358
Residual land converted to Artificial land;1262
Residual land remaining Residual land;671909
