Region;Code;Label;count
FR81;ARTART;Artificial land remaining Artificial land;118427
FR81;RESCRP;Residual land converted to Cropland;53689
FR81;RESGRS;Residual land converted to Grassland;31
FR81;RESART;Residual land converted to Artificial land;845
FR81;RESRES;Residual land remaining Residual land;282913
FR82;FORFOR;Forest land remaining Forest land;1356191
FR82;FORART;Forest land converted to Artificial land;1809
FR82;CRPCRP;Cropland remaining Cropland;650846
FR82;CRPART;Cropland converted to Artificial land;230
FR82;GRSGRS;Grassland remaining Grassland;57535
FR82;GRSART;Grassland converted to Artificial land;3019
FR82;ARTART;Artificial land remaining Artificial land;200418
FR82;RESART;Residual land converted to Artificial land;32
FR82;RESRES;Residual land remaining Residual land;471031
FR83;FORFOR;Forest land remaining Forest land;514137
FR83;FORART;Forest land converted to Artificial land;220
FR83;CRPCRP;Cropland remaining Cropland;73742
FR83;CRPART;Cropland converted to Artificial land;33
FR83;GRSGRS;Grassland remaining Grassland;18147
FR83;ARTART;Artificial land remaining Artificial land;18523
FR83;RESRES;Residual land remaining Residual land;151275
