Label;count
Forest land remaining Forest land;3866895
Forest land converted to Artificial land;1415
Cropland remaining Cropland;1661062
Cropland converted to Grassland;279414
Cropland converted to Artificial land;30757
Grassland converted to Cropland;7922
Grassland remaining Grassland;685490
Grassland converted to Artificial land;4098
Artificial land remaining Artificial land;425447
Residual land converted to Cropland;15116
Residual land converted to Artificial land;1936
Residual land remaining Residual land;677477
