Label;count
Forest land remaining Forest land;3866525
Forest land converted to Grassland;2
Forest land converted to Artificial land;1783
Cropland converted to Forest land;10
Cropland remaining Cropland;1844700
Cropland converted to Grassland;68697
Cropland converted to Artificial land;57826
Grassland converted to Forest land;381
Grassland converted to Cropland;55466
Grassland remaining Grassland;634043
Grassland converted to Artificial land;7586
Grassland converted to Residual land;34
Artificial land remaining Artificial land;425447
Residual land converted to Cropland;2511
Residual land converted to Grassland;14871
Residual land converted to Artificial land;3171
Residual land remaining Residual land;673976
