Label;count
Forest land remaining Forest land;688174
Forest land converted to Cropland;51216
Forest land converted to Grassland;275
Forest land converted to Artificial land;481
Cropland remaining Cropland;841155
Cropland converted to Grassland;101
Cropland converted to Artificial land;13135
Grassland converted to Cropland;24270
Grassland remaining Grassland;3851702
Grassland converted to Artificial land;8124
Artificial land remaining Artificial land;111108
Residual land converted to Cropland;88271
Residual land converted to Artificial land;840
Residual land remaining Residual land;78514
