Label;count
Forest land remaining Forest land;688077
Forest land converted to Cropland;51219
Forest land converted to Grassland;272
Forest land converted to Artificial land;578
Cropland converted to Forest land;1142
Cropland remaining Cropland;812576
Cropland converted to Grassland;25372
Cropland converted to Artificial land;15301
Grassland converted to Forest land;703
Grassland converted to Cropland;41708
Grassland remaining Grassland;3831054
Grassland converted to Artificial land;10631
Artificial land remaining Artificial land;111108
Residual land converted to Cropland;89002
Residual land converted to Grassland;2
Residual land converted to Artificial land;109
Residual land remaining Residual land;78512
