Label;count
Forest land remaining Forest land;367467
Forest land converted to Cropland;4926
Forest land converted to Grassland;379
Forest land converted to Artificial land;2418
Cropland remaining Cropland;1353771
Cropland converted to Grassland;805
Cropland converted to Artificial land;31211
Grassland converted to Cropland;9947
Grassland remaining Grassland;980112
Grassland converted to Artificial land;11374
Artificial land remaining Artificial land;404418
Residual land converted to Cropland;7252
Residual land converted to Grassland;2044
Residual land converted to Artificial land;465
Residual land remaining Residual land;71834
