Label;count
Forest land remaining Forest land;365859
Forest land converted to Cropland;5345
Forest land converted to Grassland;734
Forest land converted to Artificial land;3252
Cropland remaining Cropland;1356041
Cropland converted to Grassland;462
Cropland converted to Artificial land;29284
Grassland converted to Cropland;11604
Grassland remaining Grassland;977873
Grassland converted to Artificial land;11956
Artificial land remaining Artificial land;404418
Residual land converted to Cropland;9026
Residual land converted to Grassland;1972
Residual land converted to Artificial land;918
Residual land remaining Residual land;69679
