Label;count
Forest land remaining Forest land;3832695
Forest land converted to Cropland;47785
Forest land converted to Grassland;8033
Forest land converted to Artificial land;7088
Cropland converted to Forest land;498563
Cropland remaining Cropland;4272649
Cropland converted to Grassland;126107
Cropland converted to Artificial land;33237
Grassland converted to Forest land;18367
Grassland converted to Cropland;10057
Grassland remaining Grassland;107989
Grassland converted to Artificial land;4485
Artificial land remaining Artificial land;313741
Residual land converted to Forest land;462
Residual land converted to Cropland;177929
Residual land converted to Grassland;10601
Residual land converted to Artificial land;1733
Residual land remaining Residual land;3033516
