Label;count
Forest land remaining Forest land;3813116
Forest land converted to Cropland;51231
Forest land converted to Artificial land;3963
Cropland remaining Cropland;1751705
Cropland converted to Grassland;218098
Cropland converted to Artificial land;1430
Grassland converted to Cropland;57369
Grassland remaining Grassland;637391
Grassland converted to Artificial land;2750
Artificial land remaining Artificial land;425447
Residual land converted to Cropland;24936
Residual land converted to Artificial land;2787
Residual land remaining Residual land;666806
