Label;count
Forest land remaining Forest land;10141683
Forest land converted to Cropland;124824
Forest land converted to Artificial land;1011
Cropland converted to Forest land;110
Cropland remaining Cropland;15199697
Cropland converted to Grassland;266578
Cropland converted to Artificial land;125268
Cropland converted to Residual land;1950
Grassland converted to Forest land;21095
Grassland converted to Cropland;188563
Grassland remaining Grassland;2550501
Grassland converted to Artificial land;49066
Grassland converted to Residual land;516
Artificial land remaining Artificial land;1676252
Residual land converted to Cropland;663
Residual land remaining Residual land;31594
