Label;count
Forest land remaining Forest land;369004
Forest land converted to Cropland;4946
Forest land converted to Grassland;2
Forest land converted to Artificial land;1238
Cropland remaining Cropland;1352370
Cropland converted to Grassland;1263
Cropland converted to Artificial land;32154
Grassland converted to Cropland;9682
Grassland remaining Grassland;979597
Grassland converted to Artificial land;12154
Artificial land remaining Artificial land;404418
Residual land converted to Cropland;6216
Residual land converted to Grassland;3006
Residual land converted to Artificial land;183
Residual land remaining Residual land;72190
