Label;count
Forest land remaining Forest land;3864331
Forest land converted to Cropland;2964
Forest land converted to Artificial land;1015
Cropland remaining Cropland;1738321
Cropland converted to Grassland;226721
Cropland converted to Artificial land;6191
Grassland converted to Cropland;5507
Grassland remaining Grassland;689212
Grassland converted to Artificial land;2791
Artificial land remaining Artificial land;425447
Residual land converted to Cropland;18512
Residual land converted to Artificial land;938
Residual land remaining Residual land;675079
